Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity
12/22/24 18:40:26,Jason,56,Sand Wedge,64.69219868659974,-1.21,5.89,12.4,6.510000000000001,62.54473776105988,0.9668049475958732,36.83000183105469,10.920000076293944,3531.64013671875,1483.8394775390625,3830.699951171875,Estimated,-22.790000915527344,17.322834315279124,68.68985079865752,6.199999809265137,7.414698179335517,75.60148214020137,5.659999847412109,7.458442668295277,,,1.1509776,69.998,97.22,0
12/22/24 18:41:07,Brian,56,Sand Wedge,62.96975771188736,0.0,0.0,0.0,0.0,56.21420811557391,0.8927175545565401,28.81999969482422,31.8700008392334,3415.152099609375,-885.1264038085938,3527.989990234375,Estimated,14.529999732971191,9.394138129928706,56.353890310692805,36.06999969482422,33.18022668597996,66.16360265016556,36.27000045776367,39.14041982519029,,,1.1509776,69.998,97.22,0
12/22/24 18:41:42,Lauren,56,Sand Wedge,59.90515493869782,0.0,4.14,20.61,16.47,66.19094636956197,1.1049290572288233,17.700000762939453,17.450000762939453,4888.67919921875,-2822.479736328125,5644.9599609375,Estimated,30.0,6.299212667910751,62.06255289912224,24.239999771118164,25.48118828545512,75.78740273672338,25.3799991607666,32.4803148626238,,,1.1509776,69.998,97.22,0
12/22/24 18:42:17,Herald,56,Sand Wedge,57.55637179136277,-3.78,-2.04,0.35,2.39,63.90927028816259,1.1103769799776222,31.690000534057617,0.0299999993294477,5881.79248046875,-162.23863220214844,5884.02978515625,Estimated,1.5800000429153442,15.277777631246297,69.89282372357548,0.4699999988079071,0.5796150001922626,75.75458733008509,0.5,0.6671041084806433,,,1.1509776,69.998,97.22,0
12/22/24 18:43:09,Brian,56,Sand Wedge,62.656586625576026,-7.86,9.07,7.44,-1.63,55.5878686735864,0.8871831624944565,34.88999938964844,7.25,5816.7685546875,156.38116455078125,5818.8701171875,Estimated,-1.5399999618530271,12.893700375562162,55.53368036048414,7.409999847412109,7.163167107079175,60.67366354948581,7.329999923706055,7.742781846533717,,,1.1509776,69.998,97.22,0
12/22/24 18:44:06,Jason,56,Sand Wedge,0.0,0.0,0.0,0.0,0.0,60.30780143026459,inf,,32.11000061035156,4029.0400390625,0.0,4029.0400390625,Measured,-0.0,,,,,,,,,,1.1509776,69.998,97.22,0
12/22/24 18:45:08,Jason,56,Sand Wedge,62.81317216873168,-1.92,1.61,0.0,-1.61,62.20919816476408,0.9903845963654696,12.279999732971191,26.90999984741211,1458.6812744140625,-842.169921875,1684.3399658203125,Estimated,30.0,2.405949239426292,40.474625174036646,29.450000762939453,19.89282590977996,67.60717182878852,30.399999618530277,34.20822374096065,,,1.1509776,69.998,97.22,0
12/22/24 18:46:59,Herald,,Pitching Wedge,63.14871261835098,2.6,-7.28,0.74,8.02,49.70472373428902,0.78710589136927,12.829999923706056,-0.3100000023841858,3262.929931640625,-602.3923950195312,3318.070068359375,Estimated,10.460000038146973,1.7825896199054083,28.29177613366096,0.5600000023841858,0.2734033167362213,43.58048701903226,0.8700000047683716,0.6671041084806433,,,1.1509776,69.998,97.22,0
12/22/24 18:47:50,Lauren,,Pitching Wedge,62.79080280542374,-5.48,6.67,2.8,-3.87,69.14370164355296,1.1011756269117243,19.690000534057617,3.140000104904175,4621.85400390625,742.7833251953125,4681.16015625,Estimated,-9.130000114440918,8.945756857353445,74.11416742966776,1.100000023841858,1.4216971948808066,86.73446553144458,0.7699999809265137,1.170166252993326,,,1.1509776,69.998,97.22,0
12/22/24 18:48:23,Herald,,Pitching Wedge,65.63171194553375,-1.78,2.16,2.5,0.3399999999999998,85.74177365533615,1.3064076970366287,23.21999931335449,2.319999933242798,6931.80224609375,133.097412109375,6933.080078125,Estimated,-1.100000023841858,20.17716560949384,107.15223156644696,2.0999999046325684,3.9260715344665584,113.58267457238436,2.059999942779541,4.09011362880338,,,1.1509776,69.998,97.22,0
12/22/24 18:49:16,Jason,,Pitching Wedge,67.91338700294494,-3.9,4.54,3.54,-1.0,78.24803182723099,1.1521738979656235,24.809999465942383,3.470000028610229,4815.63232421875,807.5886840820312,4882.8798828125,Estimated,-9.520000457763672,16.94006925466806,96.45668680709603,0.699999988079071,1.181102375233266,105.36963660141828,0.449999988079071,0.8202099502086639,,,1.1509776,69.998,97.22,0
12/22/24 18:50:07,Brian,,Pitching Wedge,67.57784655332566,-0.68,5.75,2.64,-3.11,91.51306495150584,1.3541873501294972,21.989999771118164,2.890000104904175,6507.46240234375,571.6181030273438,6532.52001953125,Measured,-5.019999980926514,21.861328955920044,117.8368295133114,1.0700000524520874,2.1981626561297105,124.6937810258687,0.949999988079071,2.06692905888157,,,1.1509776,69.998,97.22,0
12/22/24 18:50:50,Brian,,Pitching Wedge,67.33178355693818,-0.36,7.24,0.53,-6.71,90.26037753429593,1.3405315107681426,21.729999542236328,1.340000033378601,4966.275390625,50.27486801147461,4966.52978515625,Measured,-0.5799999833106995,20.12248369460553,118.97418831216692,1.2300000190734863,2.559054950785452,128.63079546175595,1.2100000381469729,2.712160922882333,,,1.1509776,69.998,97.22,0
