Date,Revenue,Net Income,Gross Profit,Total Expenses,EPS,Net Margin (%),Gross Margin (%),Operating Margin (%)
2025-03-31,90234000000.0,34540000000.0,53873000000.0,59628000000.0,2.81,38.27825431655473,59.70365937451515,33.91847862224882
2024-12-31,96469000000.0,26536000000.0,55856000000.0,65497000000.0,2.15,27.507282132083883,57.90046543449191,32.10565051985612
2024-09-30,88268000000.0,26301000000.0,51794000000.0,59747000000.0,2.12,29.796755336022112,58.678116644763676,32.31182308424344
2024-06-30,84742000000.0,23619000000.0,49235000000.0,57317000000.0,1.89,27.871657501593074,58.099879634655785,32.362936914399
2024-03-31,80539000000.0,23662000000.0,46827000000.0,55067000000.0,1.89,29.37955524652653,58.14201815269621,31.62691366915407
